Publication_year,Research_group_UPC,ID_article
"(2009, 2012]",COSDA-UPC - COmpositional and Spatial Data Analysis,188
"(2012, 2015]",COSDA-UPC - COmpositional and Spatial Data Analysis,179
"(2018, 2021]",SAC - Sistemes Avancats de Control,141
"(2015, 2018]",SAC - Sistemes Avancats de Control,139
"(2012, 2015]",ACM - Analisis Critiques de la Modernitat: Arquitectura i Ciutat,125
"(2015, 2018]",CTE-CRAE - Grup de Recerca en Ciencies i Tecnologies de l'Espai,123
"(2009, 2012]",ACM - Analisis Critiques de la Modernitat: Arquitectura i Ciutat,122
"(2018, 2021]",IMEM-BRT- Innovation in Materials and Molecular Engineering - Biomaterials for Regenerative Therapies,122
"(2018, 2021]",NEMEN - Nanoenginyeria de materials aplicats a l'energia,121
"(2018, 2021]",LACAN - Metodes Numerics en Ciencies Aplicades i Enginyeria,120
"(2012, 2015]",ATEM - Analisi i Tecnologia d'Estructures i Materials,114
"(2015, 2018]",ATEM - Analisi i Tecnologia d'Estructures i Materials,110
"(2012, 2015]",IMEM-BRT- Innovation in Materials and Molecular Engineering - Biomaterials for Regenerative Therapies,109
"(2009, 2012]",IMEM-BRT- Innovation in Materials and Molecular Engineering - Biomaterials for Regenerative Therapies,109
"(2018, 2021]","BBT - Biomaterials, Biomecanica i Enginyeria de Teixits",107
"(2015, 2018]",IMEM-BRT- Innovation in Materials and Molecular Engineering - Biomaterials for Regenerative Therapies,106
"(2018, 2021]",R2EM - Resource Recovery and Environmental Management,106
"(2012, 2015]",LACAN - Metodes Numerics en Ciencies Aplicades i Enginyeria,106
"(2018, 2021]",ACM - Analisis Critiques de la Modernitat: Arquitectura i Ciutat,105
"(2015, 2018]",RSLAB - Grup de Recerca en Teledeteccio,105
"(2012, 2015]",RSLAB - Grup de Recerca en Teledeteccio,103
"(2015, 2018]",R2EM - Resource Recovery and Environmental Management,103
"(2018, 2021]",MSR - Mecanica del Sols i de les Roques,103
"(2018, 2021]",GRBIO - Grup de Recerca en Bioestadistica i Bioinformatica,103
"(2018, 2021]",CTE-CRAE - Grup de Recerca en Ciencies i Tecnologies de l'Espai,102
"(2018, 2021]",EC - Enginyeria de la Construccio,101
"(2018, 2021]",ATEM - Analisi i Tecnologia d'Estructures i Materials,100
"(2009, 2012]",IMP - Information Modeling and Processing,100
"(2009, 2012]",CTE-CRAE - Grup de Recerca en Ciencies i Tecnologies de l'Espai,99
"(2015, 2018]",RMEE - Grup  de Resistencia de Materials i Estructures en l'Enginyeria,98
"(2018, 2021]",RSLAB - Grup de Recerca en Teledeteccio,97
"(2012, 2015]","BBT - Biomaterials, Biomecanica i Enginyeria de Teixits",96
"(2018, 2021]",GCM - Grup de Caracteritzacio de Materials,96
"(2015, 2018]","BBT - Biomaterials, Biomecanica i Enginyeria de Teixits",94
"(2015, 2018]",NEMEN - Nanoenginyeria de materials aplicats a l'energia,94
"(2018, 2021]",LIM/UPC - Laboratori d'Enginyeria Maritima,94
"(2018, 2021]",CITCEA - Centre d'Innovacio Tecnologica en Convertidors Estatics i Accionaments,92
"(2009, 2012]",SD - Sistemes Dinamics de la UPC,92
"(2015, 2018]",EC - Enginyeria de la Construccio,90
"(2015, 2018]",GHS - Grup d'Hidrologia Subterrania,90
"(2009, 2012]",RSLAB - Grup de Recerca en Teledeteccio,90
"(2012, 2015]",IMP - Information Modeling and Processing,89
"(2015, 2018]",GCM - Grup de Caracteritzacio de Materials,87
"(2012, 2015]",R2EM - Resource Recovery and Environmental Management,86
"(2012, 2015]",NEMEN - Nanoenginyeria de materials aplicats a l'energia,85
"(2012, 2015]",CTE-CRAE - Grup de Recerca en Ciencies i Tecnologies de l'Espai,85
"(2009, 2012]","CIEFMA - Centre d'Integritat Estructural, Fiabilitat i Micromecanica dels Materials",84
"(2012, 2015]","CoDAlab - Control, Modelitzacio, Identificacio i Aplicacions",84
"(2018, 2021]",GREMS - Grup de Recerca en Mineria Sostenible,84
"(2018, 2021]",PSEP - Polimers Sintetics: Estructura i Propietats. Polimers Biodegradables,84
"(2018, 2021]",PROCOMAME - Processos de Conformacio de Materials Metal?lics,83
"(2015, 2018]",ACM - Analisis Critiques de la Modernitat: Arquitectura i Ciutat,83
"(2015, 2018]",GRBIO - Grup de Recerca en Bioestadistica i Bioinformatica,82
"(2015, 2018]",LIM/UPC - Laboratori d'Enginyeria Maritima,82
"(2018, 2021]",RMEE - Grup  de Resistencia de Materials i Estructures en l'Enginyeria,81
"(2015, 2018]",SIMCON - First-principles approaches to condensed matter physics: quantum effects and complexity,80
"(2012, 2015]","DONLL - Dinamica no Lineal, Optica no Lineal i Lasers",79
"(2015, 2018]",COSDA-UPC - COmpositional and Spatial Data Analysis,79
"(2018, 2021]",SIMCON - First-principles approaches to condensed matter physics: quantum effects and complexity,79
"(2018, 2021]","CIEFMA - Centre d'Integritat Estructural, Fiabilitat i Micromecanica dels Materials",79
"(2009, 2012]","BBT - Biomaterials, Biomecanica i Enginyeria de Teixits",79
"(2012, 2015]",GHS - Grup d'Hidrologia Subterrania,78
"(2015, 2018]",LACAN - Metodes Numerics en Ciencies Aplicades i Enginyeria,78
"(2009, 2012]",SIMCON - First-principles approaches to condensed matter physics: quantum effects and complexity,78
"(2009, 2012]",R2EM - Resource Recovery and Environmental Management,78
"(2018, 2021]","CoDAlab - Control, Modelitzacio, Identificacio i Aplicacions",78
"(2012, 2015]",GMNE - Grup de Metodes Numerics en Enginyeria,77
"(2015, 2018]","CIEFMA - Centre d'Integritat Estructural, Fiabilitat i Micromecanica dels Materials",77
"(2015, 2018]",CAP - Grup de Computacio d'Altes Prestacions,76
"(2012, 2015]",MNT - Grup de Recerca en Micro i Nanotecnologies,75
"(2009, 2012]",ATEM - Analisi i Tecnologia d'Estructures i Materials,75
"(2012, 2015]",PSEP - Polimers Sintetics: Estructura i Propietats. Polimers Biodegradables,75
"(2012, 2015]","CIEFMA - Centre d'Integritat Estructural, Fiabilitat i Micromecanica dels Materials",75
"(2009, 2012]",LACAN - Metodes Numerics en Ciencies Aplicades i Enginyeria,74
"(2015, 2018]","CoDAlab - Control, Modelitzacio, Identificacio i Aplicacions",74
"(2009, 2012]","GAPCOMB - Geometric, Algebraic and Probabilistic Combinatorics",73
"(2015, 2018]",MNT - Grup de Recerca en Micro i Nanotecnologies,73
"(2015, 2018]",MSR - Mecanica del Sols i de les Roques,73
"(2009, 2012]",CAP - Grup de Computacio d'Altes Prestacions,73
"(2018, 2021]",CAP - Grup de Computacio d'Altes Prestacions,72
"(2018, 2021]",MCIA - Motion Control and Industrial Applications Research Group,72
"(2012, 2015]",EC - Enginyeria de la Construccio,72
"(2015, 2018]",SD - Sistemes Dinamics de la UPC,72
"(2018, 2021]","DONLL - Dinamica no Lineal, Optica no Lineal i Lasers",71
"(2009, 2012]",FOTONICA - Grup de Recerca de Fotonica,71
"(2015, 2018]",PSEP - Polimers Sintetics: Estructura i Propietats. Polimers Biodegradables,71
"(2009, 2012]",GCM - Grup de Caracteritzacio de Materials,71
"(2018, 2021]",SD - Sistemes Dinamics de la UPC,71
"(2009, 2012]","DONLL - Dinamica no Lineal, Optica no Lineal i Lasers",71
"(2012, 2015]",SAC - Sistemes Avancats de Control,71
"(2015, 2018]",IMP - Information Modeling and Processing,70
"(2015, 2018]","DONLL - Dinamica no Lineal, Optica no Lineal i Lasers",70
"(2009, 2012]",MSR - Mecanica del Sols i de les Roques,69
"(2012, 2015]",SD - Sistemes Dinamics de la UPC,69
"(2018, 2021]",REMM - Recerca en Estructures i Mecanica de Materials,69
"(2012, 2015]",GCM - Grup de Caracteritzacio de Materials,69
"(2018, 2021]",COSDA-UPC - COmpositional and Spatial Data Analysis,68
